id,first_name,last_name,email,gender,creditcard_number,patient_id,patient_name,age,diagnosis_code,diagnosis_description,procedure_code,procedure_description,admission_date,discharge_date,total_cost
553,Elden,Bulteel,ebulteelfc@kickstarter.com,Male,3557569563628929,553,Elden Bulteel,53,Y93F1,"Activity, caregiving, bathing",0RPM04Z,"Removal of Internal Fixation Device from Left Elbow Joint, Open Approach",8/12/2022,11/3/2021,Zloty
554,Cesar,Phythean,cphytheanfd@go.com,Male,3541433360834496,554,Cesar Phythean,12,Y377X0A,"Military operations involving chemical weapons and other forms of unconventional warfare, military personnel, initial encounter",0D1L0ZN,"Bypass Transverse Colon to Sigmoid Colon, Open Approach",1/23/2022,5/18/2022,Yuan Renminbi
555,Kayla,Klus,kklusfe@icq.com,Agender,5602225403299856,555,Kayla Klus,120,E0800,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),0WWN33Z,"Revision of Infusion Device in Female Perineum, Percutaneous Approach",4/26/2022,3/31/2020,Dollar
556,Scottie,Gonnelly,sgonnellyff@omniture.com,Male,5461725878664914,556,Scottie Gonnelly,97,S23140A,"Subluxation of T6/T7 thoracic vertebra, initial encounter",0CLC0ZZ,"Occlusion of Left Parotid Duct, Open Approach",1/17/2021,1/13/2020,Ruble
557,Danila,Brett,dbrettfg@miibeian.gov.cn,Female,5100147262990432,557,Danila Brett,116,T50Z12A,"Poisoning by immunoglobulin, intentional self-harm, initial encounter",DD15BBZ,Low Dose Rate (LDR) Brachytherapy of Colon using Palladium 103 (Pd-103),7/21/2020,1/9/2020,Kuna
558,Raimundo,Sibley,rsibleyfh@ftc.gov,Male,3538406837370554,558,Raimundo Sibley,60,T370X3S,"Poisoning by sulfonamides, assault, sequela",B30H1ZZ,Plain Radiography of Right Upper Extremity Arteries using Low Osmolar Contrast,1/17/2022,1/6/2022,Krona
559,Alphonse,Entreis,aentreisfi@accuweather.com,Non-binary,4026378882252663,559,Alphonse Entreis,87,Y35121,"Legal intervention involving injury by explosive shell, law enforcement official injured",04774D6,"Dilation of Left Colic Artery, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach",11/14/2022,5/22/2020,Yuan Renminbi
560,Gunner,Wenderott,gwenderottfj@google.com.hk,Male,3571390868650530,560,Gunner Wenderott,27,S82136F,"Nondisplaced fracture of medial condyle of unspecified tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",03130A0,"Bypass Right Subclavian Artery to Right Upper Arm Artery with Autologous Arterial Tissue, Open Approach",7/13/2022,10/19/2022,Euro
561,Kristin,Dabourne,kdabournefk@delicious.com,Female,3528942185848900,561,Kristin Dabourne,50,I8301,Varicose veins of right lower extremity with ulcer,3E0636Z,"Introduction of Nutritional Substance into Central Artery, Percutaneous Approach",5/13/2022,1/30/2022,Shilling
562,Lilly,Alltimes,lalltimesfl@over-blog.com,Agender,3564545399982301,562,Lilly Alltimes,99,T2309,Burn of unspecified degree of multiple sites of wrist and hand,041L4AJ,"Bypass Left Femoral Artery to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",11/14/2022,4/18/2021,Euro
563,Lukas,Mason,lmasonfm@virginia.edu,Male,201681045787342,563,Lukas Mason,103,M67869,"Other specified disorders of synovium and tendon, unspecified knee",03HM43Z,"Insertion of Infusion Device into Right External Carotid Artery, Percutaneous Endoscopic Approach",11/6/2022,12/9/2022,Baht
564,Missie,Menary,mmenaryfn@dmoz.org,Female,3566807966511261,564,Missie Menary,8,N805,Endometriosis of intestine,D7Y58ZZ,Hyperthermia of Thorax Lymphatics,11/18/2020,3/12/2021,Euro
565,Leland,Dach,ldachfo@quantcast.com,Male,4026954201056348,565,Leland Dach,5,V9106,Burn due to (nonpowered) inflatable craft on fire,047D4GZ,"Dilation of Left Common Iliac Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach",3/9/2021,5/4/2020,Lev
566,Bryanty,Kobisch,bkobischfp@yahoo.com,Bigender,3582243739430508,566,Bryanty Kobisch,66,T2172,Corrosion of third degree of abdominal wall,05RY47Z,"Replacement of Upper Vein with Autologous Tissue Substitute, Percutaneous Endoscopic Approach",2/4/2022,4/24/2021,Koruna
567,Humbert,Arnauduc,harnauducfq@cdc.gov,Male,5585351088537757,567,Humbert Arnauduc,26,M1231,"Palindromic rheumatism, shoulder",0LC30ZZ,"Extirpation of Matter from Right Upper Arm Tendon, Open Approach",9/22/2021,12/6/2020,Yuan Renminbi
568,Adara,Balcers,abalcersfr@ed.gov,Female,58934568442552670,568,Adara Balcers,58,M949,"Disorder of cartilage, unspecified",0KQG0ZZ,"Repair Left Trunk Muscle, Open Approach",4/11/2020,5/26/2021,Ruble
569,Cheryl,Tolefree,ctolefreefs@nymag.com,Female,4936188340600679,569,Cheryl Tolefree,67,S42415G,"Nondisplaced simple supracondylar fracture without intercondylar fracture of left humerus, subsequent encounter for fracture with delayed healing",DG010ZZ,Beam Radiation of Pineal Body using Photons <1 MeV,11/16/2020,10/8/2021,Rupee
570,Chevy,Akister,cakisterft@nih.gov,Male,3541696823143230,570,Chevy Akister,29,Y36030D,"War operations involving explosion of sea-based artillery shell, military personnel, subsequent encounter",0BTC0ZZ,"Resection of Right Upper Lung Lobe, Open Approach",2/12/2021,9/19/2020,Peso
571,Tove,Wedderburn,twedderburnfu@t-online.de,Female,3536592587489108,571,Tove Wedderburn,118,H16062,"Mycotic corneal ulcer, left eye",0XP63YZ,"Removal of Other Device from Right Upper Extremity, Percutaneous Approach",4/7/2020,2/19/2022,Peso
572,Pet,Ottosen,pottosenfv@state.gov,Female,5038725253601966264,572,Pet Ottosen,105,V355XXS,"Driver of three-wheeled motor vehicle injured in collision with railway train or railway vehicle in traffic accident, sequela",0SWH44Z,"Revision of Internal Fixation Device in Right Tarsal Joint, Percutaneous Endoscopic Approach",4/25/2020,6/6/2021,Peso
573,Gwennie,Corby,gcorbyfw@merriam-webster.com,Female,5602218981676454,573,Gwennie Corby,46,M24072,Loose body in left ankle,5A1C00Z,"Performance of Biliary Filtration, Single",5/7/2021,9/28/2020,Franc
574,Abigail,Ridde,ariddefx@people.com.cn,Female,5602215981541288551,574,Abigail Ridde,108,S9212,Fracture of body of talus,009330Z,"Drainage of Epidural Space with Drainage Device, Percutaneous Approach",4/21/2022,1/8/2021,Yen
575,Grissel,Armal,garmalfy@rambler.ru,Female,3544427662588518,575,Grissel Armal,62,S21122D,"Laceration with foreign body of left front wall of thorax without penetration into thoracic cavity, subsequent encounter",03160ZK,"Bypass Left Axillary Artery to Left Extracranial Artery, Open Approach",11/14/2021,10/8/2022,Euro
576,Edwina,Tieman,etiemanfz@hostgator.com,Female,6759148712165864784,576,Edwina Tieman,2,S71001,"Unspecified open wound, right hip",03V24DZ,"Restriction of Innominate Artery with Intraluminal Device, Percutaneous Endoscopic Approach",5/14/2020,7/9/2022,Ruble
577,Marcela,Voules,mvoulesg0@tumblr.com,Female,36057354443986,577,Marcela Voules,11,M06839,"Other specified rheumatoid arthritis, unspecified wrist",0XJF3ZZ,"Inspection of Left Lower Arm, Percutaneous Approach",4/19/2021,9/24/2021,Euro
578,Wyatt,Weinmann,wweinmanng1@sourceforge.net,Male,5602252425666616059,578,Wyatt Weinmann,83,T84013A,"Broken internal left knee prosthesis, initial encounter",0RW4X8Z,"Revision of Spacer in Cervicothoracic Vertebral Joint, External Approach",9/3/2022,3/6/2021,Ruble
579,Morlee,Creffield,mcreffieldg2@cdc.gov,Male,56022123525588337,579,Morlee Creffield,119,T33532S,"Superficial frostbite of left finger(s), sequela",DW12BCZ,Low Dose Rate (LDR) Brachytherapy of Chest using Californium 252 (Cf-252),5/23/2022,8/16/2021,Boliviano
580,Virge,Purselowe,vpurseloweg3@apple.com,Male,201798538080884,580,Virge Purselowe,49,H47621,"Disorders of visual cortex in (due to) inflammatory disorders, right side of brain",04ST4ZZ,"Reposition Right Peroneal Artery, Percutaneous Endoscopic Approach",2/3/2021,2/22/2021,Real
581,Sargent,Parker,sparkerg4@zdnet.com,Male,3574674120889367,581,Sargent Parker,32,S3401XA,"Concussion and edema of lumbar spinal cord, initial encounter",0K9N0ZZ,"Drainage of Right Hip Muscle, Open Approach",4/23/2021,7/30/2022,Yuan Renminbi
582,Konrad,Bolingbroke,kbolingbrokeg5@google.ru,Male,50206918194835732,582,Konrad Bolingbroke,39,M24841,"Other specific joint derangements of right hand, not elsewhere classified",07WK33Z,"Revision of Infusion Device in Thoracic Duct, Percutaneous Approach",6/23/2020,4/17/2022,Krona
583,Maurice,MacKay,mmackayg6@adobe.com,Male,5641825728887518251,583,Maurice MacKay,60,V9183XS,"Other injury due to other accident to other powered watercraft, sequela",0WH031Z,"Insertion of Radioactive Element into Head, Percutaneous Approach",5/15/2022,2/25/2021,Sol
584,Melosa,Corgenvin,mcorgenving7@godaddy.com,Female,3532807530762490,584,Melosa Corgenvin,66,S42425G,"Nondisplaced comminuted supracondylar fracture without intercondylar fracture of left humerus, subsequent encounter for fracture with delayed healing",0DB67ZX,"Excision of Stomach, Via Natural or Artificial Opening, Diagnostic",10/8/2021,4/22/2020,Yuan Renminbi
585,Sansone,Hanburry,shanburryg8@google.com,Male,4913273590844073,585,Sansone Hanburry,58,W5802XS,"Struck by alligator, sequela",0J0H0ZZ,"Alteration of Left Lower Arm Subcutaneous Tissue and Fascia, Open Approach",9/16/2020,3/16/2021,Real
586,Agatha,Couttes,acouttesg9@taobao.com,Female,4905739494902362101,586,Agatha Couttes,75,S49019A,"Salter-Harris Type I physeal fracture of upper end of humerus, unspecified arm, initial encounter for closed fracture",0WPDX0Z,"Removal of Drainage Device from Pericardial Cavity, External Approach",6/1/2020,11/7/2022,Yen
587,Pip,Yeell,pyeellga@deviantart.com,Male,3538398899889565,587,Pip Yeell,74,S52579B,"Other intraarticular fracture of lower end of unspecified radius, initial encounter for open fracture type I or II",09N04ZZ,"Release Right External Ear, Percutaneous Endoscopic Approach",11/11/2020,12/13/2022,Yuan Renminbi
588,Konstance,Tabor,ktaborgb@com.com,Female,6771012982779355937,588,Konstance Tabor,90,S92322K,"Displaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with nonunion",04U937Z,"Supplement Right Renal Artery with Autologous Tissue Substitute, Percutaneous Approach",5/22/2020,7/12/2021,Lek
589,Stillman,Moscrop,smoscropgc@xrea.com,Male,5100131442536158,589,Stillman Moscrop,29,M84459S,"Pathological fracture, hip, unspecified, sequela",03UN07Z,"Supplement Left External Carotid Artery with Autologous Tissue Substitute, Open Approach",10/17/2022,2/21/2020,Yuan Renminbi
590,Zachariah,Hennington,zhenningtongd@telegraph.co.uk,Male,5610951510243012,590,Zachariah Hennington,37,T2014XS,"Burn of first degree of nose (septum), sequela",0RPB3KZ,"Removal of Nonautologous Tissue Substitute from Thoracolumbar Vertebral Disc, Percutaneous Approach",1/13/2021,2/16/2020,Yuan Renminbi
591,Olimpia,Mc Caughan,omcge@si.edu,Female,675963352373024974,591,Olimpia Mc Caughan,111,R6813,Apparent life threatening event in infant (ALTE),03CS4ZZ,"Extirpation of Matter from Right Temporal Artery, Percutaneous Endoscopic Approach",6/8/2020,12/20/2022,Yuan Renminbi
592,Gratia,Hargreves,ghargrevesgf@plala.or.jp,Female,56104807005097659,592,Gratia Hargreves,81,S82222R,"Displaced transverse fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",BP3FYZZ,Magnetic Resonance Imaging (MRI) of Left Upper Arm using Other Contrast,6/30/2020,11/15/2020,Gourde
593,Melodee,Ells,mellsgg@1688.com,Agender,6759328186167412,593,Melodee Ells,116,H7323,"Unspecified myringitis, bilateral",00BA4ZZ,"Excision of Hypothalamus, Percutaneous Endoscopic Approach",8/17/2022,12/24/2021,Peso
594,Duncan,Garwill,dgarwillgh@goodreads.com,Male,3576603470928721,594,Duncan Garwill,95,S72001C,"Fracture of unspecified part of neck of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC",0PBR4ZZ,"Excision of Right Thumb Phalanx, Percutaneous Endoscopic Approach",11/8/2021,11/4/2021,Yuan Renminbi
595,Hayyim,Sheppey,hsheppeygi@shutterfly.com,Male,6761301069089579,595,Hayyim Sheppey,94,V730XXA,"Driver of bus injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",0PHL4DZ,"Insertion of Hybrid External Fixation Device into Left Ulna, Percutaneous Endoscopic Approach",6/18/2022,5/2/2021,Bolivar
596,Roslyn,Tatersale,rtatersalegj@bloomberg.com,Female,3530252316722057,596,Roslyn Tatersale,30,S72059M,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with nonunion",0RGF4JZ,"Fusion of Left Sternoclavicular Joint with Synthetic Substitute, Percutaneous Endoscopic Approach",8/23/2021,10/31/2022,Ringgit
597,Onfroi,Jex,ojexgk@canalblog.com,Male,3551383938785679,597,Onfroi Jex,56,S36239,"Laceration of unspecified part of pancreas, unspecified degree",0FVC0ZZ,"Restriction of Ampulla of Vater, Open Approach",8/4/2022,1/30/2020,Guarani
598,Jolyn,Sheen,jsheengl@fc2.com,Female,5610653707200009,598,Jolyn Sheen,5,S46329A,"Laceration of muscle, fascia and tendon of triceps, unspecified arm, initial encounter",0KUS0KZ,"Supplement Right Lower Leg Muscle with Nonautologous Tissue Substitute, Open Approach",12/27/2021,6/18/2022,Yuan Renminbi
599,Aluin,Aim,aaimgm@gravatar.com,Male,3549230726050136,599,Aluin Aim,8,S72433R,"Displaced fracture of medial condyle of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",0GCQ4ZZ,"Extirpation of Matter from Multiple Parathyroid Glands, Percutaneous Endoscopic Approach",1/7/2022,8/30/2021,Peso
600,Dalt,Jenoure,djenouregn@google.es,Male,4405836465435071,600,Dalt Jenoure,24,T84090S,"Other mechanical complication of internal right hip prosthesis, sequela",02100Z3,"Bypass Coronary Artery, One Artery from Coronary Artery, Open Approach",4/16/2021,10/6/2020,Euro
601,Jaine,Nears,jnearsgo@patch.com,Female,201521661253783,601,Jaine Nears,76,Z20818,Contact with and (suspected) exposure to other bacterial communicable diseases,0TFB0ZZ,"Fragmentation in Bladder, Open Approach",4/7/2020,7/18/2021,Yuan Renminbi
602,Sherri,Troak,stroakgp@wsj.com,Female,5602227770432896,602,Sherri Troak,2,T85860A,"Thrombosis due to nervous system prosthetic devices, implants and grafts, initial encounter",0TWD0CZ,"Revision of Extraluminal Device in Urethra, Open Approach",4/5/2022,12/16/2020,Dinar
603,Edouard,Balham,ebalhamgq@yahoo.co.jp,Male,4917405006867274,603,Edouard Balham,87,T843,"Mechanical complication of other bone devices, implants and grafts",0PS844Z,"Reposition Left Glenoid Cavity with Internal Fixation Device, Percutaneous Endoscopic Approach",10/14/2022,11/14/2022,Hryvnia
604,Alana,Sheards,asheardsgr@usgs.gov,Female,5504875762846843,604,Alana Sheards,9,N049,Nephrotic syndrome with unspecified morphologic changes,0SW008Z,"Revision of Spacer in Lumbar Vertebral Joint, Open Approach",6/13/2020,5/30/2021,Yuan Renminbi
605,Pat,Panther,ppanthergs@arstechnica.com,Male,675923116800830082,605,Pat Panther,76,T593X4,"Toxic effect of lacrimogenic gas, undetermined",0N9J3ZX,"Drainage of Left Lacrimal Bone, Percutaneous Approach, Diagnostic",10/24/2022,4/12/2021,Rupiah
606,Merrick,Crommett,mcrommettgt@oaic.gov.au,Male,3576227020347321,606,Merrick Crommett,25,M512,"Other thoracic, thoracolumbar and lumbosacral intervertebral disc displacement",041F0KK,"Bypass Left Internal Iliac Artery to Bilateral Femoral Arteries with Nonautologous Tissue Substitute, Open Approach",2/17/2021,3/8/2022,Zloty
607,Blake,Antonin,bantoningu@netvibes.com,Male,633110245506730395,607,Blake Antonin,8,Z85238,Personal history of other malignant neoplasm of thymus,0CRXXK1,"Replacement of Lower Tooth, Multiple, with Nonautologous Tissue Substitute, External Approach",8/5/2021,6/9/2020,Baht
608,Dirk,Helks,dhelksgv@indiegogo.com,Male,3553325955947086,608,Dirk Helks,106,T81510D,"Adhesions due to foreign body accidentally left in body following surgical operation, subsequent encounter",0QS204Z,"Reposition Right Pelvic Bone with Internal Fixation Device, Open Approach",6/12/2021,2/14/2022,Zloty
609,Tarrance,Bush,tbushgw@weather.com,Male,3539213122029732,609,Tarrance Bush,102,S0124,Puncture wound with foreign body of nose,D9Y5FZZ,Plaque Radiation of Tongue,8/2/2021,12/17/2021,Euro
610,Aili,Gapper,agappergx@hp.com,Female,5602232721963171,610,Aili Gapper,2,Y9322,"Activity, ice hockey",BQ2P0ZZ,Computerized Tomography (CT Scan) of Right Toe(s) using High Osmolar Contrast,5/4/2021,12/6/2020,Boliviano
611,Filmore,Shorland,fshorlandgy@1688.com,Male,675914481153355009,611,Filmore Shorland,116,S82843R,"Displaced bimalleolar fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",04100J7,"Bypass Abdominal Aorta to Left Common Iliac Artery with Synthetic Substitute, Open Approach",1/21/2021,7/22/2021,Real
612,Dory,Frammingham,dframminghamgz@amazon.co.uk,Female,5538718009544633,612,Dory Frammingham,31,V9384,Other injury due to other accident on board sailboat,05U03JZ,"Supplement Azygos Vein with Synthetic Substitute, Percutaneous Approach",1/18/2020,9/15/2022,Ariary
613,Donovan,Simoens,dsimoensh0@sfgate.com,Agender,4041598020071,613,Donovan Simoens,1,K61,Abscess of anal and rectal regions,0V9N00Z,"Drainage of Right Vas Deferens with Drainage Device, Open Approach",5/3/2021,10/9/2022,Rupiah
614,Ikey,Lanfear,ilanfearh1@cloudflare.com,Male,3571741956440087,614,Ikey Lanfear,18,E113211,"Type 2 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",DP032ZZ,Beam Radiation of Mandible using Photons >10 MeV,8/4/2020,1/10/2021,Rupiah
615,Gunther,Camings,gcamingsh2@mtv.com,Male,337941291184587,615,Gunther Camings,78,S30877A,"Other superficial bite of anus, initial encounter",0272066,"Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach",12/20/2022,3/16/2021,Baht
616,Geralda,Mumbey,gmumbeyh3@reference.com,Genderfluid,201724992379729,616,Geralda Mumbey,4,H4020X4,"Unspecified primary angle-closure glaucoma, indeterminate stage",0CTX0Z0,"Resection of Lower Tooth, Single, Open Approach",5/15/2022,7/4/2020,Euro
617,Lynda,Garden,lgardenh4@gov.uk,Female,3588074369832646,617,Lynda Garden,107,T23641,"Corrosion of second degree of multiple right fingers (nail), including thumb",04UW3KZ,"Supplement Left Foot Artery with Nonautologous Tissue Substitute, Percutaneous Approach",10/7/2020,3/4/2022,Rupiah
618,Aleece,Manchett,amanchetth5@privacy.gov.au,Female,5010128484143777,618,Aleece Manchett,16,S89219G,"Salter-Harris Type I physeal fracture of upper end of unspecified fibula, subsequent encounter for fracture with delayed healing",037L066,"Dilation of Left Internal Carotid Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach",2/7/2022,3/19/2021,Ruble
619,Katusha,Scarlon,kscarlonh6@ed.gov,Female,5002357569882351,619,Katusha Scarlon,47,W16321,Fall into other water striking bottom causing drowning and submersion,04104AJ,"Bypass Abdominal Aorta to Left Femoral Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach",5/31/2021,12/9/2022,Hryvnia
620,Doti,Meddemmen,dmeddemmenh7@mayoclinic.com,Female,4405895327036451,620,Doti Meddemmen,13,F422,Mixed obsessional thoughts and acts,0LSL0ZZ,"Reposition Right Upper Leg Tendon, Open Approach",10/13/2020,11/22/2020,Yuan Renminbi
621,Dorothee,Cadore,dcadoreh8@uol.com.br,Female,374288799588578,621,Dorothee Cadore,50,S62166B,"Nondisplaced fracture of pisiform, unspecified wrist, initial encounter for open fracture",0FUF37Z,"Supplement Accessory Pancreatic Duct with Autologous Tissue Substitute, Percutaneous Approach",11/10/2020,9/28/2020,Real
622,Cybill,Kirwood,ckirwoodh9@webeden.co.uk,Female,201612783249955,622,Cybill Kirwood,81,T440X5S,"Adverse effect of anticholinesterase agents, sequela",03770GZ,"Dilation of Right Brachial Artery with Four or More Intraluminal Devices, Open Approach",10/10/2020,4/17/2020,Yuan Renminbi
623,Amos,Chatten,achattenha@youtube.com,Male,5602256130185373,623,Amos Chatten,75,Q42,"Congenital absence, atresia and stenosis of large intestine",0TPB4LZ,"Removal of Artificial Sphincter from Bladder, Percutaneous Endoscopic Approach",4/3/2020,11/18/2022,Dong
624,Sherman,Prestner,sprestnerhb@xing.com,Male,3544068476948405,624,Sherman Prestner,60,E093219,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",B434ZZZ,Magnetic Resonance Imaging (MRI) of Superior Mesenteric Artery,10/3/2022,6/10/2021,Euro
625,Kelila,Barringer,kbarringerhc@woothemes.com,Female,5010124778583372,625,Kelila Barringer,9,S20112S,"Abrasion of breast, left breast, sequela",0B5J8ZZ,"Destruction of Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic",10/1/2022,3/27/2022,Bolivar
626,La verne,Saines,lvernehd@nature.com,Female,3588757438065715,626,La verne Saines,1,G4719,Other hypersomnia,08WKXJZ,"Revision of Synthetic Substitute in Left Lens, External Approach",8/6/2020,9/16/2021,Real
627,Jackquelin,Aslum,jaslumhe@example.com,Female,3551424194305495,627,Jackquelin Aslum,13,H05403,"Unspecified enophthalmos, bilateral",079H00Z,"Drainage of Right Inguinal Lymphatic with Drainage Device, Open Approach",6/16/2020,5/4/2022,Yuan Renminbi
628,Aloysius,Lay,alayhf@scribd.com,Male,3577982807665860,628,Aloysius Lay,48,S72423J,"Displaced fracture of lateral condyle of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",0HHW7NZ,"Insertion of Tissue Expander into Right Nipple, Via Natural or Artificial Opening",1/20/2021,9/18/2020,Yuan Renminbi
629,Saidee,Ellen,sellenhg@washingtonpost.com,Female,0604369557312344,629,Saidee Ellen,86,S72059M,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with nonunion",F02Z5KZ,Perceptual Processing Assessment using Audiovisual Equipment,1/1/2020,3/16/2022,Rupiah
630,Mellisa,Duchart,mducharthh@dmoz.org,Female,67062662874050629,630,Mellisa Duchart,21,S85819,"Laceration of other blood vessels at lower leg level, unspecified leg",0SP00JZ,"Removal of Synthetic Substitute from Lumbar Vertebral Joint, Open Approach",5/2/2022,7/18/2022,Lek
631,Byrom,Scruton,bscrutonhi@sun.com,Male,4405474241699115,631,Byrom Scruton,3,H27122,"Anterior dislocation of lens, left eye",02103D4,"Bypass Coronary Artery, One Artery from Coronary Vein with Intraluminal Device, Percutaneous Approach",8/15/2020,8/22/2021,Yuan Renminbi
632,Lara,Seeviour,lseeviourhj@guardian.co.uk,Female,5602214886900222,632,Lara Seeviour,29,Z91411,Personal history of adult psychological abuse,0QP507Z,"Removal of Autologous Tissue Substitute from Left Acetabulum, Open Approach",4/8/2022,12/13/2022,Krona
633,Gabriele,Gerrens,ggerrenshk@t-online.de,Male,633344555351386350,633,Gabriele Gerrens,39,J383,Other diseases of vocal cords,0RPL4JZ,"Removal of Synthetic Substitute from Right Elbow Joint, Percutaneous Endoscopic Approach",9/8/2021,5/23/2021,Balboa
634,Bobbi,Nisbet,bnisbethl@wired.com,Female,4844533246277463,634,Bobbi Nisbet,16,S59091S,"Other physeal fracture of lower end of ulna, right arm, sequela",0UU687Z,"Supplement Left Fallopian Tube with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic",11/7/2020,7/13/2021,Peso
635,Sonny,O'Carran,socarranhm@dedecms.com,Male,3588050908066359,635,Sonny O'Carran,16,S59141P,"Salter-Harris Type IV physeal fracture of upper end of radius, right arm, subsequent encounter for fracture with malunion",04VM4DZ,"Restriction of Right Popliteal Artery with Intraluminal Device, Percutaneous Endoscopic Approach",10/21/2021,5/14/2020,Hryvnia
636,Essa,Awcoate,eawcoatehn@census.gov,Female,3570789504355985,636,Essa Awcoate,0,S2121,Laceration without foreign body of back wall of thorax without penetration into thoracic cavity,0NPW4MZ,"Removal of Bone Growth Stimulator from Facial Bone, Percutaneous Endoscopic Approach",6/5/2022,10/31/2022,Rupiah
637,Harv,Mallabone,hmallaboneho@home.pl,Male,3540925581748299,637,Harv Mallabone,88,X360,Collapse of dam or man-made structure causing earth movement,0QRM07Z,"Replacement of Left Tarsal with Autologous Tissue Substitute, Open Approach",12/27/2022,1/17/2021,Peso
638,Reese,Perryn,rperrynhp@lulu.com,Male,4903384934637297,638,Reese Perryn,20,X025XXD,"Jump from burning building or structure in controlled fire, subsequent encounter",0KBN4ZX,"Excision of Right Hip Muscle, Percutaneous Endoscopic Approach, Diagnostic",6/28/2022,1/27/2022,Balboa
639,Madelle,Audry,maudryhq@squarespace.com,Female,3571047483714113,639,Madelle Audry,53,T81536D,"Perforation due to foreign body accidentally left in body following aspiration, puncture or other catheterization, subsequent encounter",09WJ40Z,"Revision of Drainage Device in Left Ear, Percutaneous Endoscopic Approach",7/20/2021,10/21/2022,Peso
640,Loise,Posselt,lposselthr@gravatar.com,Female,3582202829710856,640,Loise Posselt,66,L930,Discoid lupus erythematosus,0QPK3KZ,"Removal of Nonautologous Tissue Substitute from Left Fibula, Percutaneous Approach",9/12/2022,7/14/2020,Yuan Renminbi
641,Mariam,Dunklee,mdunkleehs@de.vu,Female,337941907618192,641,Mariam Dunklee,18,V485XXD,"Car driver injured in noncollision transport accident in traffic accident, subsequent encounter",0PW00JZ,"Revision of Synthetic Substitute in Sternum, Open Approach",1/4/2021,6/16/2020,Rand
642,Anne-marie,Orrum,aorrumht@paypal.com,Non-binary,5602229441014616,642,Anne-marie Orrum,46,H35462,"Secondary vitreoretinal degeneration, left eye",0BWKX2Z,"Revision of Monitoring Device in Right Lung, External Approach",5/15/2022,5/20/2020,Euro
643,Pierson,Dobrowolski,pdobrowolskihu@gnu.org,Male,201513495516162,643,Pierson Dobrowolski,4,S52001G,"Unspecified fracture of upper end of right ulna, subsequent encounter for closed fracture with delayed healing",0PSH36Z,"Reposition Right Radius with Intramedullary Internal Fixation Device, Percutaneous Approach",2/23/2021,9/13/2020,Peso
644,Kerrin,Tregale,ktregalehv@cisco.com,Female,5473199359116826,644,Kerrin Tregale,89,M47021,"Vertebral artery compression syndromes, occipito-atlanto-axial region",BQ42ZZZ,Ultrasonography of Bilateral Hips,12/17/2021,2/17/2021,Rupiah
645,Homere,Auguste,haugustehw@devhub.com,Male,4905967391073194177,645,Homere Auguste,51,S83105,Unspecified dislocation of left knee,0CSX0Z2,"Reposition Lower Tooth, All, Open Approach",12/2/2020,5/13/2021,Dong
646,Michel,Shilito,mshilitohx@wikispaces.com,Male,5610312356147546,646,Michel Shilito,105,S12400A,"Unspecified displaced fracture of fifth cervical vertebra, initial encounter for closed fracture",02HX30Z,"Insertion of Pressure Sensor Monitoring Device into Thoracic Aorta, Ascending/Arch, Percutaneous Approach",2/18/2020,6/27/2022,Rupiah
647,Adlai,Gladebeck,agladebeckhy@home.pl,Polygender,5400042372451135,647,Adlai Gladebeck,55,T288,Corrosion of internal genitourinary organs,03753D6,"Dilation of Right Axillary Artery, Bifurcation, with Intraluminal Device, Percutaneous Approach",8/23/2022,10/17/2020,Koruna
648,Celestina,Pattesall,cpattesallhz@go.com,Bigender,3549579762646011,648,Celestina Pattesall,93,Y3742,Military operations involving firearms pellets,0H5WXZZ,"Destruction of Right Nipple, External Approach",3/30/2020,5/5/2021,Yuan Renminbi
